Mouse_20110408_610x610x660um, min seglength =  50.0
609.280000 609.280000 662.000000 box dimensions in microns
30   30   30	number of tissue points in x,y,z directions
50.	outer bound distance (100. in test case)
100.	max. segment length.  (5. in test case)
4 nodsegm, max. allowed number of segments per node
3573	total number of segments
name  type   from   to   diam. rel. flow  hem.
5 4 42 18347 23.000000 -39.328560 0.400000
6 4 83 67 4.000000 0.114695 0.400000
14 4 67 72 4.000000 0.114695 0.400000
22 4 83 84 4.000000 -0.114695 0.400000
23 4 84 87 4.000000 -0.277207 0.400000
26 4 87 18148 4.000000 -0.229295 0.400000
28 4 87 95 6.500000 2.242084 0.400000
32 4 95 72 6.500000 2.242084 0.400000
34 4 84 8228 5.000000 0.162512 0.400000
38 4 72 18038 7.000000 2.356779 0.400000
43 4 107 111 2.000000 -2.459207 0.400000
47 4 111 118 6.000000 -3.084369 0.400000
54 4 118 18352 6.000000 -3.084369 0.400000
63 4 18349 19964 20.000000 -403.279510 0.400000
65 4 18040 145 10.500000 90.641281 0.400000
68 4 153 155 10.500000 90.641281 0.400000
78 4 153 145 10.500000 -90.641281 0.400000
84 4 130 18040 10.500000 90.641281 0.400000
89 4 155 173 9.000000 55.179516 0.400000
93 4 182 185 7.000000 -1.268564 0.400000
100 4 18045 185 4.000000 0.585828 0.400000
102 4 18045 18046 4.000000 -0.585828 0.400000
111 4 206 18046 4.000000 0.585828 0.400000
118 4 214 206 3.000000 1.389008 0.400000
125 4 215 239 3.500000 1.377210 0.400000
126 4 220 185 5.000000 0.682736 0.400000
130 4 220 18050 4.000000 -0.046558 0.400000
134 4 18050 4407 4.000000 -0.046558 0.400000
139 4 206 232 4.500000 0.803180 0.400000
149 4 240 246 4.000000 0.401006 0.400000
154 4 246 254 4.000000 0.401006 0.400000
162 4 254 258 4.000000 0.401006 0.400000
166 4 264 18053 5.000000 1.127772 0.400000
174 4 269 277 6.000000 6.000869 0.400000
182 4 277 286 6.000000 6.000869 0.400000
191 4 286 19945 6.000000 6.000869 0.400000
194 4 18055 18053 6.000000 -0.292444 0.400000
198 4 18055 303 6.000000 0.292444 0.400000
207 4 303 493 6.000000 0.292444 0.400000
210 4 312 19878 6.000000 11.663596 0.400000
216 4 312 19805 9.500000 -54.770481 0.400000
219 4 264 19952 4.000000 0.166751 0.400000
220 4 264 323 6.000000 -1.294522 0.400000
225 4 18060 323 3.500000 1.057360 0.400000
230 4 18060 330 3.500000 -1.057360 0.400000
232 4 330 338 5.000000 -0.794187 0.400000
240 4 338 2804 5.000000 -0.794187 0.400000
242 4 269 347 6.000000 5.662728 0.400000
249 4 347 351 6.000000 5.662728 0.400000
257 4 360 17 2.000000 0.041702 0.400000
265 4 17 14 20.000000 13.124583 0.400000
268 4 358 215 5.500000 3.623888 0.400000
277 4 379 1009 4.000000 1.804288 0.400000
278 4 381 379 5.000000 -4.196580 0.400000
286 4 239 330 2.000000 0.263173 0.400000
287 4 403 397 4.000000 -0.166751 0.400000
295 4 397 18068 4.000000 -0.166751 0.400000
306 4 18068 19952 4.000000 -0.166751 0.400000
312 4 42 403 4.000000 -0.166751 0.400000
313 4 414 42 25.000000 -39.495308 0.400000
314 4 430 424 6.000000 1.285483 0.400000
323 4 424 18038 6.000000 1.285483 0.400000
328 4 429 99 22.000000 -29.034990 0.400000
330 4 430 436 6.000000 -1.285483 0.400000
336 4 436 439 6.500000 -1.566818 0.400000
339 4 439 441 7.000000 -1.395223 0.400000
341 4 441 449 5.000000 -0.411810 0.400000
349 4 449 18072 5.000000 -0.411810 0.400000
355 4 18072 457 5.000000 -0.411810 0.400000
356 4 457 465 5.000000 -0.232962 0.400000
364 4 465 490 5.000000 -0.232962 0.400000
366 4 436 477 4.500000 0.281335 0.400000
376 4 477 486 4.500000 0.281335 0.400000
385 4 486 99 4.500000 0.281335 0.400000
392 4 493 501 6.000000 0.965649 0.400000
399 4 503 501 6.000000 -0.965649 0.400000
401 4 358 351 5.500000 -3.623888 0.400000
407 4 510 503 6.000000 -1.376095 0.400000
410 4 323 521 4.000000 -0.237163 0.400000
420 4 521 530 4.000000 -0.237163 0.400000
429 4 530 539 4.000000 -0.237163 0.400000
438 4 539 549 4.000000 -0.237163 0.400000
439 4 240 549 4.000000 0.713031 0.400000
448 4 316 18076 8.000000 30.235029 0.400000
449 4 316 312 7.500000 -43.106888 0.400000
457 4 559 19911 5.000000 -1.940860 0.400000
460 4 569 575 6.000000 10.382661 0.400000
466 4 575 581 6.000000 10.382661 0.400000
467 4 581 588 6.000000 10.382661 0.400000
478 4 564 569 10.000000 27.389662 0.400000
480 4 155 165 8.000000 35.461761 0.400000
483 4 47 2478 22.000000 -34.784496 0.400000
491 4 598 18076 8.000000 -30.235029 0.400000
492 4 603 19947 8.000000 -30.235029 0.400000
495 4 603 610 8.000000 30.235029 0.400000
501 4 610 617 6.000000 6.526464 0.400000
507 4 617 625 6.000000 6.526464 0.400000
508 4 316 19806 6.000000 12.871857 0.400000
526 4 598 19947 8.000000 30.235029 0.400000
533 4 658 666 7.000000 -4.793136 0.400000
538 4 666 674 7.000000 -4.793136 0.400000
547 4 678 674 7.000000 4.793136 0.400000
549 4 653 655 6.000000 -17.718382 0.400000
550 4 653 680 5.500000 -1.390925 0.400000
551 4 652 642 11.000000 19.109306 0.400000
553 4 642 649 11.000000 19.109306 0.400000
554 4 658 655 8.000000 16.890747 0.400000
555 4 684 692 8.000000 -10.606012 0.400000
563 4 692 693 8.000000 -10.606012 0.400000
564 4 693 701 8.000000 -8.580587 0.400000
573 4 703 701 8.000000 8.580587 0.400000
574 4 703 714 8.000000 -9.358089 0.400000
577 4 684 4388 5.000000 -1.491598 0.400000
587 4 714 2450 8.000000 -9.358089 0.400000
593 4 18082 947 9.000000 25.165001 0.400000
596 4 18081 18080 9.000000 -55.179516 0.400000
598 4 18081 722 9.000000 55.179516 0.400000
